Exch	ExchType	Name	Expiry	ScripType	StrikeRate	LotSize	QtyLimit	ScripCode
N	D	NIFTY 26 JUN 2025 CE 20750.00	6/26/2025	CE	20750	75	1800	62077
N	D	NIFTY 26 JUN 2025 PE 20750.00	6/26/2025	PE	20750	75	1800	62080
N	D	NIFTY 26 JUN 2025 CE 20800.00	6/26/2025	CE	20800	75	1800	62081
N	D	NIFTY 26 JUN 2025 PE 20800.00	6/26/2025	PE	20800	75	1800	62086
N	D	NIFTY 26 JUN 2025 CE 20850.00	6/26/2025	CE	20850	75	1800	62087
N	D	NIFTY 26 JUN 2025 PE 20850.00	6/26/2025	PE	20850	75	1800	62090
N	D	NIFTY 26 JUN 2025 CE 20900.00	6/26/2025	CE	20900	75	1800	62091
N	D	NIFTY 26 JUN 2025 PE 20900.00	6/26/2025	PE	20900	75	1800	62098
N	D	NIFTY 26 JUN 2025 CE 20950.00	6/26/2025	CE	20950	75	1800	62099
N	D	NIFTY 26 JUN 2025 PE 20950.00	6/26/2025	PE	20950	75	1800	62104
N	D	NIFTY 26 JUN 2025 CE 21050.00	6/26/2025	CE	21050	75	1800	62105
N	D	NIFTY 26 JUN 2025 PE 21050.00	6/26/2025	PE	21050	75	1800	62121
N	D	NIFTY 26 JUN 2025 CE 21100.00	6/26/2025	CE	21100	75	1800	62122
N	D	NIFTY 26 JUN 2025 PE 21100.00	6/26/2025	PE	21100	75	1800	62124
N	D	NIFTY 26 JUN 2025 CE 21150.00	6/26/2025	CE	21150	75	1800	62125
N	D	NIFTY 26 JUN 2025 PE 21150.00	6/26/2025	PE	21150	75	1800	62126
N	D	NIFTY 26 JUN 2025 CE 21200.00	6/26/2025	CE	21200	75	1800	62127
N	D	NIFTY 26 JUN 2025 PE 21200.00	6/26/2025	PE	21200	75	1800	62132
N	D	NIFTY 26 JUN 2025 CE 21250.00	6/26/2025	CE	21250	75	1800	62133
